Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
26-May-15;3068;264;64;70;46;2749;11;13;936;2999;2063
27-May-15;2911;241;35;81;149;2303;11;7;903;2964;2061
28-May-15;3482;289;37;93;163;2221;23;12;1032;3095;2063
29-May-15;2985;294;42;63;16;2868;10;11;1020;3083;2063
30-May-15;2963;293;30;28;16;1315;12;6;1205;3268;2063
31-May-15;3997;317;75;77;117;2066;16;12;1262;3325;2063
1-Jun-15;1775;137;54;105;575;2953;23;13;647;2710;2063
2-Jun-15;1990;151;45;69;88;4357;15;24;1084;3147;2063
3-Jun-15;1877;136;71;55;68;2353;7;17;580;2643;2063
4-Jun-15;774;100;27;40;66;1827;14;13;64;2127;2063
5-Jun-15;2503;248;81;111;112;2550;36;39;406;2469;2063
6-Jun-15;1046;125;36;43;200;1439;24;12;708;2752;2044
7-Jun-15;2328;137;61;180;699;2053;25;16;532;2594;2062
8-Jun-15;2126;136;86;113;702;3228;21;17;409;2472;2063
9-Jun-15;2236;123;87;112;273;3273;15;13;529;2592;2063
10-Jun-15;1078;110;50;50;97;2173;9;10;442;2505;2063
11-Jun-15;1328;134;57;60;102;4734;13;17;541;2604;2063
12-Jun-15;1921;184;68;73;74;2927;32;26;25;2088;2063
13-Jun-15;1655;71;98;72;287;2495;25;13;416;2479;2063
14-Jun-15;1772;154;84;63;133;3712;26;21;181;2244;2063
15-Jun-15;1855;186;78;78;112;3577;28;19;242;2305;2063
16-Jun-15;1944;205;62;93;47;2306;35;39;494;2557;2063
17-Jun-15;2425;132;53;70;494;1827;33;4;439;2502;2063
18-Jun-15;2374;207;39;39;8;1303;15;5;1172;3235;2063
19-Jun-15;2978;270;48;46;16;350;6;3;850;2913;2063
20-Jun-15;3000;397;34;92;84;2280;17;49;1308;3371;2063
21-Jun-15;2905;172;41;74;76;527;4;2;1143;3206;2063
22-Jun-15;2743;157;60;69;151;1765;16;6;1064;3127;2063
23-Jun-15;2528;137;35;51;8;1632;4;9;870;2666;1796
24-Jun-15;2813;142;33;95;205;1968;16;2;1480;3541;2061
25-Jun-15;2817;107;61;77;156;1958;24;16;989;3050;2061
26-Jun-15;2813;195;57;96;933;1834;17;16;1022;3082;2060
27-Jun-15;2457;130;46;111;321;1897;10;3;1128;3188;2060
28-Jun-15;2458;272;38;90;123;3968;12;8;721;2781;2060
29-Jun-15;1807;146;43;47;143;1353;12;4;797;2857;2060
30-Jun-15;2776;335;58;69;8;1951;18;7;1331;3494;2163
1-Jul-15;2345;316;29;26;8;1256;16;8;1069;3112;2043
2-Jul-15;2518;263;40;58;87;452;12;6;1312;3355;2043
3-Jul-15;2157;172;28;55;21;1005;7;8;1226;3269;2043
4-Jul-15;3383;348;55;73;126;2265;22;9;1123;3157;2034
5-Jul-15;3169;228;45;105;142;2795;8;4;875;2909;2034
6-Jul-15;2780;247;40;52;58;2093;27;5;1026;3060;2034
7-Jul-15;3212;317;73;115;403;3017;16;8;1352;3386;2034
8-Jul-15;3244;227;71;103;195;1716;38;8;1216;3250;2034
9-Jul-15;2588;239;45;66;72;1869;35;11;897;2931;2034
10-Jul-15;2577;270;30;65;95;3325;12;7;1247;3281;2034
11-Jul-15;2834;106;84;101;183;1431;15;10;930;2964;2034
12-Jul-15;2935;192;46;104;253;1701;10;5;1115;3149;2034
13-Jul-15;2737;224;30;55;69;3259;6;8;915;2949;2034
14-Jul-15;2598;157;16;25;29;605;12;2;1186;3220;2034
15-Jul-15;3012;297;54;58;195;1585;19;8;1268;3302;2034
16-Jul-15;3340;259;41;93;191;2408;15;7;1088;3122;2034
17-Jul-15;2755;221;24;57;31;572;6;18;956;2990;2034
18-Jul-15;3136;280;56;55;428;1443;19;6;1119;3153;2034
19-Jul-15;3147;195;49;85;225;1273;16;2;1258;3300;2042
20-Jul-15;2688;373;45;85;0;1534;13;31;668;2710;2042
21-Jul-15;2594;301;32;44;30;1659;20;13;974;3016;2042
22-Jul-15;2525;166;60;72;151;1860;16;6;714;2756;2042
23-Jul-15;2394;190;43;76;16;1540;7;8;754;2796;2042
24-Jul-15;3042;197;70;99;181;2905;19;6;832;2874;2042
25-Jul-15;3140;278;59;70;16;1954;21;7;1450;3499;2049
26-Jul-15;3057;249;49;88;187;1652;10;5;852;2901;2049
27-Jul-15;2904;249;47;51;260;4905;12;23;991;3040;2049
28-Jul-15;2709;151;47;44;631;1936;11;3;1055;3104;2049
29-Jul-15;1720;109;25;43;134;1331;17;3;1164;3213;2049
30-Jul-15;2470;201;56;69;16;1900;19;7;1161;2998;1837
31-Jul-15;3169;329;49;49;16;512;12;2;1222;3210;1988
1-Aug-15;2390;105;20;30;8;633;11;4;1216;3265;2049
2-Aug-15;2589;172;36;31;56;4620;16;22;1222;3271;2049
3-Aug-15;2354;122;60;102;197;1594;12;11;908;2957;2049
4-Aug-15;1513;145;68;70;588;1908;3;13;772;2821;2049
5-Aug-15;1345;145;47;59;391;1514;24;16;410;2459;2049
6-Aug-15;1644;180;67;78;398;2300;9;16;571;2620;2049
7-Aug-15;1039;84;46;66;1252;862;2;9;421;2470;2049
8-Aug-15;1618;196;63;59;235;1728;16;17;453;2466;2013
9-Aug-15;1715;160;82;79;559;3476;23;14;310;2359;2049
10-Aug-15;1505;145;70;67;332;3558;22;17;460;2509;2049
11-Aug-15;1627;162;74;72;530;3088;25;15;492;2541;2049
12-Aug-15;1674;177;75;62;433;2242;28;14;439;2488;2049
